"10211: Befolkning, etter alder, kjønn, år og statistikkvariabel"

"alder";"kjønn";"år";"Personer"
"0 år";"Begge kjønn";"1846";36372
"0 år";"Begge kjønn";"1847";38286
"0 år";"Begge kjønn";"1848";38326
"0 år";"Begge kjønn";"1849";37308
"0 år";"Begge kjønn";"1850";41054
"0 år";"Begge kjønn";"1851";39993
"0 år";"Begge kjønn";"1852";41500
"0 år";"Begge kjønn";"1853";40554
"0 år";"Begge kjønn";"1854";42572
"0 år";"Begge kjønn";"1855";46250
"0 år";"Begge kjønn";"1856";45644
"0 år";"Begge kjønn";"1857";45299
"0 år";"Begge kjønn";"1858";46864
"0 år";"Begge kjønn";"1859";48235
"0 år";"Begge kjønn";"1860";50898
"0 år";"Begge kjønn";"1861";49707
"0 år";"Begge kjønn";"1862";46096
"0 år";"Begge kjønn";"1863";48614
"0 år";"Begge kjønn";"1864";50381
"0 år";"Begge kjønn";"1865";49969
"0 år";"Begge kjønn";"1866";51764
"0 år";"Begge kjønn";"1867";50520
"0 år";"Begge kjønn";"1868";47247
"0 år";"Begge kjønn";"1869";47364
"0 år";"Begge kjønn";"1870";45712
"0 år";"Begge kjønn";"1871";46739
"0 år";"Begge kjønn";"1872";47526
"0 år";"Begge kjønn";"1873";48370
"0 år";"Begge kjønn";"1874";48873
"0 år";"Begge kjønn";"1875";50893
"0 år";"Begge kjønn";"1876";52399
"0 år";"Begge kjønn";"1877";53449
"0 år";"Begge kjønn";"1878";54599
"0 år";"Begge kjønn";"1879";54915
"0 år";"Begge kjønn";"1880";57237
"0 år";"Begge kjønn";"1881";55157
"0 år";"Begge kjønn";"1882";53880
"0 år";"Begge kjønn";"1883";54277
"0 år";"Begge kjønn";"1884";55517
"0 år";"Begge kjønn";"1885";56890
"0 år";"Begge kjønn";"1886";57418
"0 år";"Begge kjønn";"1887";56766
"0 år";"Begge kjønn";"1888";58190
"0 år";"Begge kjønn";"1889";56178
"0 år";"Begge kjønn";"1890";54692
"0 år";"Begge kjønn";"1891";57244
"0 år";"Begge kjønn";"1892";57798
"0 år";"Begge kjønn";"1893";55848
"0 år";"Begge kjønn";"1894";57892
"0 år";"Begge kjønn";"1895";56697
"0 år";"Begge kjønn";"1896";59279
"0 år";"Begge kjønn";"1897";59005
"0 år";"Begge kjønn";"1898";60149
"0 år";"Begge kjønn";"1899";61885
"0 år";"Begge kjønn";"1900";61475
"0 år";"Begge kjønn";"1901";62629
"0 år";"Begge kjønn";"1902";63034
"0 år";"Begge kjønn";"1903";62932
"0 år";"Begge kjønn";"1904";61811
"0 år";"Begge kjønn";"1905";60628
"0 år";"Begge kjønn";"1906";58804
"0 år";"Begge kjønn";"1907";59065
"0 år";"Begge kjønn";"1908";58422
"0 år";"Begge kjønn";"1909";58415
"0 år";"Begge kjønn";"1910";60160
"0 år";"Begge kjønn";"1911";58437
"0 år";"Begge kjønn";"1912";58414
"0 år";"Begge kjønn";"1913";59038
"0 år";"Begge kjønn";"1914";58937
"0 år";"Begge kjønn";"1915";59325
"0 år";"Begge kjønn";"1916";55786
"0 år";"Begge kjønn";"1917";58364
"0 år";"Begge kjønn";"1918";61049
"0 år";"Begge kjønn";"1919";60282
"0 år";"Begge kjønn";"1920";56461
"0 år";"Begge kjønn";"1921";66005
"0 år";"Begge kjønn";"1922";62176
"0 år";"Begge kjønn";"1923";60486
"0 år";"Begge kjønn";"1924";59498
"0 år";"Begge kjønn";"1925";55947
"0 år";"Begge kjønn";"1926";52161
"0 år";"Begge kjønn";"1927";52331
"0 år";"Begge kjønn";"1928";48508
"0 år";"Begge kjønn";"1929";48114
"0 år";"Begge kjønn";"1930";46379
"0 år";"Begge kjønn";"1931";46155
"0 år";"Begge kjønn";"1932";44391
"0 år";"Begge kjønn";"1933";43803
"0 år";"Begge kjønn";"1934";40600
"0 år";"Begge kjønn";"1935";40536
"0 år";"Begge kjønn";"1936";39976
"0 år";"Begge kjønn";"1937";40814
"0 år";"Begge kjønn";"1938";42345
"0 år";"Begge kjønn";"1939";43973
"0 år";"Begge kjønn";"1940";45239
"0 år";"Begge kjønn";"1941";46541
"0 år";"Begge kjønn";"1942";44356
"0 år";"Begge kjønn";"1943";51713
"0 år";"Begge kjønn";"1944";55692
"0 år";"Begge kjønn";"1945";60504
"0 år";"Begge kjønn";"1946";60073
"0 år";"Begge kjønn";"1947";69099
"0 år";"Begge kjønn";"1948";66292
"0 år";"Begge kjønn";"1949";64178
"0 år";"Begge kjønn";"1950";61667
"0 år";"Begge kjønn";"1951";61058
"0 år";"Begge kjønn";"1952";59291
"0 år";"Begge kjønn";"1953";61249
"0 år";"Begge kjønn";"1954";61768
"0 år";"Begge kjønn";"1955";61504
"0 år";"Begge kjønn";"1956";62380
"0 år";"Begge kjønn";"1957";62835
"0 år";"Begge kjønn";"1958";61739
"0 år";"Begge kjønn";"1959";61699
"0 år";"Begge kjønn";"1960";61669
"0 år";"Begge kjønn";"1961";60601
"0 år";"Begge kjønn";"1962";61604
"0 år";"Begge kjønn";"1963";61301
"0 år";"Begge kjønn";"1964";62403
"0 år";"Begge kjønn";"1965";64611
"0 år";"Begge kjønn";"1966";65310
"0 år";"Begge kjønn";"1967";65666
"0 år";"Begge kjønn";"1968";65519
"0 år";"Begge kjønn";"1969";66666
"0 år";"Begge kjønn";"1970";67130
"0 år";"Begge kjønn";"1971";64102
"0 år";"Begge kjønn";"1972";64888
"0 år";"Begge kjønn";"1973";63673
"0 år";"Begge kjønn";"1974";60667
"0 år";"Begge kjønn";"1975";59176
"0 år";"Begge kjønn";"1976";55821
"0 år";"Begge kjønn";"1977";53083
"0 år";"Begge kjønn";"1978";50663
"0 år";"Begge kjønn";"1979";51498
"0 år";"Begge kjønn";"1980";51221
"0 år";"Begge kjønn";"1981";50785
"0 år";"Begge kjønn";"1982";50525
"0 år";"Begge kjønn";"1983";50998
"0 år";"Begge kjønn";"1984";49681
"0 år";"Begge kjønn";"1985";50044
"0 år";"Begge kjønn";"1986";50974
"0 år";"Begge kjønn";"1987";52286
"0 år";"Begge kjønn";"1988";53882
"0 år";"Begge kjønn";"1989";57280
"0 år";"Begge kjønn";"1990";59058
"0 år";"Begge kjønn";"1991";60690
"0 år";"Begge kjønn";"1992";60622
