"13599: Framskrevet folkemengde 1. januar, etter alder, innvandringskategori / landbakgrunn, alternativ, år og statistikkvariabel"

"alder";"innvandringskategori / landbakgrunn";"alternativ";"år";"Folkemengde"
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2022";56458
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2023";55001
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2024";54862
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2025";54873
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2026";55141
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2027";55633
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2028";56116
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2029";56565
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2030";56870
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2031";57284
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2032";57741
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2033";58257
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2034";58777
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2035";59267
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2036";59845
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2037";60471
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2038";60403
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2039";60321
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2040";60210
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2041";60048
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2042";59824
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2043";59522
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2044";59160
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2045";58731
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2046";58262
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2047";57766
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2048";57267
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2049";56794
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2050";56338
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2051";55949
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2052";55620
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2053";55373
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2054";55200
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2055";55100
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2056";55069
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2057";55106
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2058";55189
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2059";55326
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2060";55495
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2061";55700
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2062";55921
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2063";56148
"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2064";56381
