"10211: Befolkning, etter alder, kjønn, år og statistikkvariabel"

"alder";"kjønn";"år";"Personer"
"0-17 år";"Begge kjønn";"1846";526331
"0-17 år";"Begge kjønn";"1847";532700
"0-17 år";"Begge kjønn";"1848";535316
"0-17 år";"Begge kjønn";"1849";537917
"0-17 år";"Begge kjønn";"1850";545574
"0-17 år";"Begge kjønn";"1851";552873
"0-17 år";"Begge kjønn";"1852";560957
"0-17 år";"Begge kjønn";"1853";565734
"0-17 år";"Begge kjønn";"1854";570986
"0-17 år";"Begge kjønn";"1855";583115
"0-17 år";"Begge kjønn";"1856";595790
"0-17 år";"Begge kjønn";"1857";608903
"0-17 år";"Begge kjønn";"1858";623502
"0-17 år";"Begge kjønn";"1859";639997
"0-17 år";"Begge kjønn";"1860";656009
"0-17 år";"Begge kjønn";"1861";669133
"0-17 år";"Begge kjønn";"1862";672564
"0-17 år";"Begge kjønn";"1863";679084
"0-17 år";"Begge kjønn";"1864";689202
"0-17 år";"Begge kjønn";"1865";698994
"0-17 år";"Begge kjønn";"1866";711084
"0-17 år";"Begge kjønn";"1867";718410
"0-17 år";"Begge kjønn";"1868";718819
"0-17 år";"Begge kjønn";"1869";720136
"0-17 år";"Begge kjønn";"1870";719051
"0-17 år";"Begge kjønn";"1871";721606
"0-17 år";"Begge kjønn";"1872";724072
"0-17 år";"Begge kjønn";"1873";723987
"0-17 år";"Begge kjønn";"1874";726046
"0-17 år";"Begge kjønn";"1875";731597
"0-17 år";"Begge kjønn";"1876";738509
"0-17 år";"Begge kjønn";"1877";744257
"0-17 år";"Begge kjønn";"1878";751698
"0-17 år";"Begge kjønn";"1879";760548
"0-17 år";"Begge kjønn";"1880";774037
"0-17 år";"Begge kjønn";"1881";779400
"0-17 år";"Begge kjønn";"1882";778380
"0-17 år";"Begge kjønn";"1883";774863
"0-17 år";"Begge kjønn";"1884";776454
"0-17 år";"Begge kjønn";"1885";782716
"0-17 år";"Begge kjønn";"1886";791316
"0-17 år";"Begge kjønn";"1887";799936
"0-17 år";"Begge kjønn";"1888";809421
"0-17 år";"Begge kjønn";"1889";816083
"0-17 år";"Begge kjønn";"1890";821451
"0-17 år";"Begge kjønn";"1891";828944
"0-17 år";"Begge kjønn";"1892";838774
"0-17 år";"Begge kjønn";"1893";843908
"0-17 år";"Begge kjønn";"1894";851056
"0-17 år";"Begge kjønn";"1895";857599
"0-17 år";"Begge kjønn";"1896";867670
"0-17 år";"Begge kjønn";"1897";877529
"0-17 år";"Begge kjønn";"1898";887998
"0-17 år";"Begge kjønn";"1899";901972
"0-17 år";"Begge kjønn";"1900";914075
"0-17 år";"Begge kjønn";"1901";926206
"0-17 år";"Begge kjønn";"1902";937355
"0-17 år";"Begge kjønn";"1903";946480
"0-17 år";"Begge kjønn";"1904";951418
"0-17 år";"Begge kjønn";"1905";956454
"0-17 år";"Begge kjønn";"1906";958049
"0-17 år";"Begge kjønn";"1907";962379
"0-17 år";"Begge kjønn";"1908";966760
"0-17 år";"Begge kjønn";"1909";972272
"0-17 år";"Begge kjønn";"1910";976791
"0-17 år";"Begge kjønn";"1911";980731
"0-17 år";"Begge kjønn";"1912";983804
"0-17 år";"Begge kjønn";"1913";988503
"0-17 år";"Begge kjønn";"1914";991228
"0-17 år";"Begge kjønn";"1915";994451
"0-17 år";"Begge kjønn";"1916";994649
"0-17 år";"Begge kjønn";"1917";996002
"0-17 år";"Begge kjønn";"1918";1001112
"0-17 år";"Begge kjønn";"1919";1004184
"0-17 år";"Begge kjønn";"1920";1003216
"0-17 år";"Begge kjønn";"1921";1012485
"0-17 år";"Begge kjønn";"1922";1015256
"0-17 år";"Begge kjønn";"1923";1016503
"0-17 år";"Begge kjønn";"1924";1016784
"0-17 år";"Begge kjønn";"1925";1014871
"0-17 år";"Begge kjønn";"1926";1009789
"0-17 år";"Begge kjønn";"1927";1004960
"0-17 år";"Begge kjønn";"1928";994871
"0-17 år";"Begge kjønn";"1929";986376
"0-17 år";"Begge kjønn";"1930";975460
"0-17 år";"Begge kjønn";"1931";964844
"0-17 år";"Begge kjønn";"1932";952603
"0-17 år";"Begge kjønn";"1933";938896
"0-17 år";"Begge kjønn";"1934";925142
"0-17 år";"Begge kjønn";"1935";909241
"0-17 år";"Begge kjønn";"1936";890525
"0-17 år";"Begge kjønn";"1937";872941
"0-17 år";"Begge kjønn";"1938";860217
"0-17 år";"Begge kjønn";"1939";840191
"0-17 år";"Begge kjønn";"1940";825944
"0-17 år";"Begge kjønn";"1941";814011
"0-17 år";"Begge kjønn";"1942";801257
"0-17 år";"Begge kjønn";"1943";797641
"0-17 år";"Begge kjønn";"1944";801285
"0-17 år";"Begge kjønn";"1945";809083
"0-17 år";"Begge kjønn";"1946";820840
"0-17 år";"Begge kjønn";"1947";848825
"0-17 år";"Begge kjønn";"1948";868397
"0-17 år";"Begge kjønn";"1949";886353
"0-17 år";"Begge kjønn";"1950";903234
"0-17 år";"Begge kjønn";"1951";920308
"0-17 år";"Begge kjønn";"1952";938148
"0-17 år";"Begge kjønn";"1953";958628
"0-17 år";"Begge kjønn";"1954";980069
"0-17 år";"Begge kjønn";"1955";1000226
"0-17 år";"Begge kjønn";"1956";1018824
"0-17 år";"Begge kjønn";"1957";1039236
"0-17 år";"Begge kjønn";"1958";1056852
"0-17 år";"Begge kjønn";"1959";1072916
"0-17 år";"Begge kjønn";"1960";1091331
"0-17 år";"Begge kjønn";"1961";1102344
"0-17 år";"Begge kjønn";"1962";1110260
"0-17 år";"Begge kjønn";"1963";1111529
"0-17 år";"Begge kjønn";"1964";1111517
