"13599: Framskrevet folkemengde 1. januar, etter kjønn, alder, innvandringskategori / landbakgrunn, alternativ, år og statistikkvariabel"

"kjønn";"alder";"innvandringskategori / landbakgrunn";"alternativ";"år";"Folkemengde"
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2022";28886
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2023";28249
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2024";28178
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2025";28184
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2026";28322
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2027";28575
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2028";28823
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2029";29054
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2030";29211
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2031";29424
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2032";29659
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2033";29924
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2034";30191
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2035";30443
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2036";30740
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2037";31062
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2038";31027
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2039";30985
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2040";30928
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2041";30845
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2042";30730
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2043";30575
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2044";30389
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2045";30169
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2046";29928
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2047";29673
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2048";29417
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2049";29174
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2050";28940
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2051";28740
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2052";28571
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2053";28444
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2054";28355
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2055";28304
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2056";28288
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2057";28307
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2058";28350
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2059";28420
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2060";28507
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2061";28612
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2062";28726
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2063";28842
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2064";28962
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2065";29073
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2066";29176
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2067";29262
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2068";29331
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2069";29377
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2070";29398
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2071";29395
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2072";29367
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2073";29316
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2074";29243
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2075";29153
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2076";29047
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2077";28931
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2078";28808
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2079";28682
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2080";28559
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2081";28441
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2082";28333
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2083";28237
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2084";28157
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2085";28094
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2086";28049
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2087";28022
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2088";28013
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2089";28020
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2090";28043
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2091";28078
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2092";28124
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2093";28178
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2094";28236
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2095";28296
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2096";28355
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2097";28410
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2098";28459
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2099";28500
"Menn";"0 år";"Hele befolkningen";"Hovedalternativ (MMM)";"2100";28530
